S,B,is_validation,oom,latency,device_time,memory,energy,power
224,64,False,False,0.0150151879997793,0.014969615936279296,335904768,1.0616938775510418,70.77475772818607
224,111,True,False,0.041291948000434786,0.04124467086791992,572041216,2.8243055555560406,67.09532640543972
224,128,False,False,0.04673075949995109,0.04665151977539062,655458304,3.1862499999997453,67.21056546503365
224,133,True,False,0.05132747700008622,0.05127091217041015,713443328,3.521103448275645,68.4507185317444
224,139,True,False,0.05262512799981778,0.052545440673828124,725121024,3.6326785714284466,68.59204747355533
224,256,False,False,0.09875292400010949,0.0986971206665039,1292992512,6.795466666666713,69.21797866955538
256,1,False,False,0.0005543170000237296,0.0005296000242233276,19499008,0.03431642390758074,67.94240812308051
256,2,False,False,0.000827618000585062,0.0008050879836082459,24346624,0.05571345595352956,70.71764879956241
256,4,False,False,0.0014619300000049407,0.0014369599819183349,32210944,0.09195652173912094,64.61708009987015
256,8,False,False,0.0028591774998858455,0.0028281919956207277,49381376,0.18182014388489962,64.50431364687167
256,16,False,False,0.005022518999794556,0.004989280223846436,119316480,0.33405247813407346,66.41929877613194
256,32,False,False,0.00961583000025712,0.009537568092346191,223518720,0.6522955974842548,68.9867213342246
256,64,False,False,0.01864774200021202,0.018612831115722657,431923200,1.3030374999998457,69.73670877269481
256,111,True,False,0.051023139999415434,0.05095756912231445,744529920,3.284172413792413,63.08993851197565
256,128,False,False,0.05749231899972074,0.057436126708984375,848732160,3.8323199999995996,65.2051904091381
256,133,True,False,0.06278898700020363,0.06272528076171875,928612352,4.2632083333337505,67.1171482385812
256,139,True,False,0.06512382100027025,0.06504259490966798,943030272,4.33727272727331,66.35207545103276
256,256,False,False,0.11840778499936278,0.11830886077880859,1683062784,7.974916666666104,67.4393408220277
304,1,True,False,0.0007294280003407039,0.0007057600021362305,20897280,0.04267171717171982,64.20138106236955
304,2,True,False,0.0012409500004650909,0.0012165119647979737,26779648,0.07825057471264243,65.45333962611586
304,4,True,False,0.0021505220001927228,0.002125823974609375,39960576,0.14229666254637424,67.20971624637669
304,8,True,False,0.004040625999550684,0.004006112098693847,64274432,0.2612795454545862,64.73926804486109
304,16,True,False,0.006934141999408894,0.006863872051239014,153698304,0.47294372294372294,69.21586555996888
304,32,True,False,0.013498741000148584,0.013421536445617676,291143680,0.8729818181817377,65.25724517770051
304,64,True,False,0.02637117699941882,0.02630860710144043,565706752,1.8596785714284383,70.21880118981412
304,111,True,False,0.07370209300006536,0.07362761688232422,973778944,5.09539999999979,67.8233269949938
304,128,True,False,0.08321899500060681,0.08314678192138672,1114464256,5.605411764706814,66.22267890322023
304,133,True,False,0.0915498310005205,0.09142825317382812,1216093184,6.3723750000008295,69.50473183027079
304,139,True,False,0.09381112600021879,0.0937293472290039,1236387840,6.353466666668343,67.33654534258363
304,256,True,False,0.17054898399965168,0.17043814086914064,2213552128,11.063249999999243,64.88859772738014
320,1,True,False,0.00075593299970933,0.0007352319955825806,21416448,0.06294335122242779,65.96467415721496
320,2,True,False,0.0012894130004497129,0.001265663981437683,28377088,0.0829923195084573,65.64944818408811
320,4,True,False,0.0027559829995880136,0.0018958719968795777,41582592,0.15420843989768004,68.79737177710162
320,8,True,False,0.004272633000255155,0.0042292160987854,70483968,0.2889451073985663,67.71590674715122
320,16,True,False,0.0072618770000190125,0.007223392009735107,159744000,0.4979230769230736,69.10471861150084
320,32,True,False,0.014213255500180821,0.014172800064086914,303136768,0.9921809523807107,70.24450169888635
320,64,True,False,0.028233197000190557,0.02817695999145508,588513280,1.964283018867718,69.2774651582759
320,111,True,False,0.08195297100064636,0.08188822174072266,1013630976,5.664277777777493,67.50214549563034
320,128,True,False,0.09362401499947737,0.09302015686035156,1159815168,6.378562500000044,67.24961811131489
320,133,True,False,0.10091370800000732,0.1008288345336914,1263632384,6.76757142857241,66.02467885926984
320,139,True,False,0.10497272099928523,0.10489657592773438,1286160384,6.792571428570747,64.3476942099402
320,256,True,False,0.1910229340001024,0.19090777587890626,2304516096,12.668142857142291,66.50032474000723
384,1,False,False,0.000930589999370568,0.000899616003036499,24412160,0.06017485119047619,68.8373757491567
384,2,False,False,0.0016370790008295444,0.00160972797870636,33783808,0.11320673526658731,69.02669340968711
384,4,False,False,0.0030303630001071724,0.003002496004104614,54493184,0.1933649373881678,64.46880759249926
384,8,False,False,0.0060698799998135655,0.006038784027099609,94470144,0.38514093959730605,64.58452189919798
384,16,False,False,0.010786607500449463,0.010749407768249512,227639296,0.7553649635037601,70.33138029352116
384,32,False,False,0.02088106399969547,0.020769119262695312,436260864,1.464859154929643,70.78614174978253
384,64,False,False,0.040932750000138185,0.04086985778808594,857407488,2.9859999999994344,72.34886532311864
384,111,True,False,0.11537381000016467,0.11529843139648438,1484802048,7.9528333333340315,67.31151061867321
384,128,False,False,0.13039251300051546,0.13032765197753907,1699840000,9.278636363633929,69.5854064328035
384,133,True,False,0.14290993500071636,0.142772216796875,1853390848,9.5179999999993,65.94072555617049
384,139,True,False,0.14722400199934782,0.14711488342285156,1884061696,10.219099999999163,68.7449640299185
384,256,False,False,0.2691224460004378,0.2690159912109375,3384287232,19.255000000004657,71.86307562561807
512,1,False,False,0.0014720629997100332,0.0014419519901275634,32210944,0.09339525691699926,66.22091425911708
512,2,False,False,0.002728753500377934,0.0027011359930038453,49381376,0.18114240506331988,67.29334933041697
512,4,False,False,0.00537716899998486,0.005277632236480713,85032960,0.34481210191085326,65.44073173861028
512,8,False,False,0.010360574000515044,0.010285056114196778,156336128,0.6814496644296771,66.6268090889541
512,16,False,False,0.018192686000475078,0.01815567970275879,399734784,1.2090750000003028,66.95954592716478
512,32,False,False,0.03637664500001847,0.03632852745056152,784355328,2.53219512195139,69.68709281070953
512,64,False,False,0.07326291400022455,0.0731693115234375,1553596416,5.177700000000186,70.66985626475777
512,111,True,False,0.2044341880000502,0.20433100891113282,2699069440,14.645999999999601,70.2006767301019
512,128,False,False,0.23386172200025612,0.2337566375732422,3092348928,17.131666666663175,72.33424100242864
512,133,True,False,0.25390107900057046,0.2537963256835937,3373938688,17.780999999999768,69.45024107824786
512,139,True,False,0.26102891899972747,0.26088552856445313,3430561792,17.773399999999675,67.55898718647424
512,256,False,False,0.47629984300056094,0.47616815185546874,6169042944,32.070000000006985,67.54471880566652
