S,B,layer,kernel,us
32,128,conv1,volta_gcgemm_32x32_nt,643.4493999999999
32,128,conv1,"void fft2d_c2r_32x32<float, true, false, 0u, false, false>(float*, float2 const*, int, int, int, int, int, int, int, int, int, float, float, cudnn::reduced_divisor, bool, float*, float*, int2, cudnnActivationStruct, int, int)",735.0586999999997
32,128,pool1,aten::max_pool2d_with_indices,57.92170000000001
32,128,pool1,Activity Buffer Request,5.5999000000000025
32,128,pool1,"void at::native::(anonymous namespace)::max_pool_forward_nchw<float, int>(int, float const*, long, long, long, int, int, int, int, int, int, int, int, int, int, float*, long*)",57.92170000000001
32,128,conv2,aten::cudnn_convolution,404.5349999999998
32,128,conv2,Activity Buffer Request,40.52679999999998
32,128,conv2,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",3.5998999999999794
32,128,conv2,_5x_cudnn_volta_scudnn_128x64_relu_small_nn_v1,400.93509999999986
32,128,conv3,aten::cudnn_convolution,190.10499999999996
32,128,conv3,Activity Buffer Request,18.920900000000007
32,128,conv3,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",3.599899999999957
32,128,conv3,_5x_cudnn_volta_scudnn_128x64_relu_xregs_large_nn_v1,186.50510000000003
32,128,conv4,aten::cudnn_convolution,86.02959999999993
32,128,conv4,Activity Buffer Request,8.665300000000002
32,128,conv4,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",3.4651999999999363
32,128,conv4,_5x_cudnn_volta_scudnn_128x64_relu_small_nn_v1,82.5644
32,128,conv5,aten::cudnn_convolution,633.3697
32,128,conv5,Activity Buffer Request,63.274599999999985
32,128,conv5,"void cask__5x_cudnn::computeOffsetsKernel<false, false>(cask__5x_cudnn::ComputeOffsetsParams)",4.287899999999945
32,128,conv5,_5x_cudnn_volta_scudnn_128x64_relu_small_nn_v1,629.0818
32,128,conv6,aten::cudnn_convolution,854.4948000000002
32,128,conv6,Activity Buffer Request,85.57809999999999
32,128,conv6,volta_sgemm_64x64_nn,854.4948000000002
32,128,pool2,aten::mean,24.37009999999998
32,128,pool2,Activity Buffer Request,2.4894999999999983
32,128,pool2,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>)",24.37009999999998
32,128,fc1,aten::addmm,38.437200000000075
32,128,fc1,Activity Buffer Request,4.028699999999981
32,128,fc1,volta_sgemm_128x32_tn,32.75420000000004
32,128,fc1,"void cublasLt::splitKreduce_kernel<32, 16, int, float, float, float, float, false, float, float, float, true, true, false>(cublasLt::cublasSplitKParams<float>, float const*, float const*, float*, float*, float const*, float const*, float const*, float const*, float*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",5.683000000000038
32,128,relu,aten::clamp_min_,3.2798000000001593
32,128,relu,Activity Buffer Request,0.33920000000002803
